wp,activity,start_date,end_date
Enhancing phruta,Recruiting postdoc,2025-01-01,2025-03-01
Enhancing phruta,CRAN inclusion,2025-02-01,2025-04-01
Enhancing phruta,Documentation,2025-03-01,2025-06-01
Salphycon UI,Hiring UI/UX programmer,2026-01-01,2026-03-01
Salphycon UI,UI enhancements,2026-02-01,2026-04-01
Salphycon UI,Sampling tab,2026-03-01,2026-05-01
Salphycon UI,Alignments tab,2026-04-01,2026-06-01
Community Engagement,Community coordinator,2027-01-01,2027-03-01
Community Engagement,Database synthesis,2027-02-01,2027-04-01
Finalization,Engagement activities,2027-05-01,2027-07-01
Finalization,Salphycon finalization,2027-06-01,2027-08-01
Finalization,Containerization,2027-07-01,2027-09-01
Finalization,Website development,2027-08-01,2027-10-01
Finalization,Preparation for publication,2027-09-01,2027-12-01
